Major,Year,School,Enrollment
Art History,2018,Morrissey College of Arts and Sciences,30
Biochemistry,2018,Morrissey College of Arts and Sciences,254
Biology,2018,Morrissey College of Arts and Sciences,958
Chemistry,2018,Morrissey College of Arts and Sciences,121
Classics,2018,Morrissey College of Arts and Sciences,24
Communication,2018,Morrissey College of Arts and Sciences,757
Computer Science,2018,Morrissey College of Arts and Sciences,374
Economics,2018,Morrissey College of Arts and Sciences,1094
English,2018,Morrissey College of Arts and Sciences,408
Environmental Geosciences,2018,Morrissey College of Arts and Sciences,41
Environmental Studies,2018,Morrissey College of Arts and Sciences,56
Film Studies,2018,Morrissey College of Arts and Sciences,37
French,2018,Morrissey College of Arts and Sciences,21
Geological Sciences,2018,Morrissey College of Arts and Sciences,11
German,2018,Morrissey College of Arts and Sciences,7
Hispanic Studies,2018,Morrissey College of Arts and Sciences,29
History,2018,Morrissey College of Arts and Sciences,245
Independent,2018,Morrissey College of Arts and Sciences,1
International Studies,2018,Morrissey College of Arts and Sciences,267
Islamic Civilization & Societies,2018,Morrissey College of Arts and Sciences,12
Italian,2018,Morrissey College of Arts and Sciences,4
Mathematics,2018,Morrissey College of Arts and Sciences,329
Music,2018,Morrissey College of Arts and Sciences,24
Philosophy,2018,Morrissey College of Arts and Sciences,174
Physics,2018,Morrissey College of Arts and Sciences,107
Political Science,2018,Morrissey College of Arts and Sciences,873
Psychology,2018,Morrissey College of Arts and Sciences,506
Sociology,2018,Morrissey College of Arts and Sciences,161
Studio Art,2018,Morrissey College of Arts and Sciences,25
Theatre,2018,Morrissey College of Arts and Sciences,52
Theology,2018,Morrissey College of Arts and Sciences,34
Art History,2017,Morrissey College of Arts and Sciences,39
Biochemistry,2017,Morrissey College of Arts and Sciences,238
Biology,2017,Morrissey College of Arts and Sciences,927
Chemistry,2017,Morrissey College of Arts and Sciences,104
Classics,2017,Morrissey College of Arts and Sciences,16
Communication,2017,Morrissey College of Arts and Sciences,751
Computer Science,2017,Morrissey College of Arts and Sciences,323
Economics,2017,Morrissey College of Arts and Sciences,1162
English,2017,Morrissey College of Arts and Sciences,433
Environmental Geosciences,2017,Morrissey College of Arts and Sciences,38
