"YEAR","state","incidence"
"1928","ALABAMA","334.99"
"1929","ALABAMA","111.93"
"1930","ALABAMA","157.0"
"1931","ALABAMA","337.29"
"1932","ALABAMA","10.21"
"1933","ALABAMA","65.22"
"1934","ALABAMA","590.27"
"1935","ALABAMA","265.34"
"1936","ALABAMA","20.78"
"1937","ALABAMA","22.46"
"1938","ALABAMA","496.44"
"1939","ALABAMA","182.64"
"1940","ALABAMA","115.12"
"1941","ALABAMA","297.47"
"1942","ALABAMA","126.15"
"1943","ALABAMA","130.82"
"1944","ALABAMA","252.87"
"1945","ALABAMA","27.33"
"1946","ALABAMA","126.75"
"1947","ALABAMA","127.26"
"1948","ALABAMA","69.09"
"1949","ALABAMA","368.8"
"1950","ALABAMA","50.9"
"1951","ALABAMA","103.24"
"1952","ALABAMA","351.72"
"1953","ALABAMA","93.99"
"1954","ALABAMA","280.39"
"1955","ALABAMA","69.68"
"1956","ALABAMA","231.75"
"1957","ALABAMA","299.79"
"1958","ALABAMA","242.34"
"1959","ALABAMA","108.19"
"1960","ALABAMA","63.33"
"1961","ALABAMA","78.01"
"1962","ALABAMA","71.58"
"1963","ALABAMA","34.74"
"1964","ALABAMA","533.68"
"1965","ALABAMA","68.2"
"1966","ALABAMA","52.38"
"1967","ALABAMA","38.98"
"1968","ALABAMA","4.65"
"1969","ALABAMA","0.36"
"1970","ALABAMA","13.94"
"1971","ALABAMA","55.24"
"1972","ALABAMA","4.02"
"1973","ALABAMA","0.42"
"1974","ALABAMA","0.58"
"1975","ALABAMA","0.13"
"1976","ALABAMA","0.0"
"1977","ALABAMA","2.06"
"1978","ALABAMA","3.43"
"1979","ALABAMA","3.35"
"1980","ALABAMA","0.57"
"1981","ALABAMA","0.0"
"1982","ALABAMA","0.05"
"1983","ALABAMA","0.03"
"1984","ALABAMA","0.0"
"1985","ALABAMA","0.0"
"1986","ALABAMA","0.02"
"1987","ALABAMA","0.09"
"1988","ALABAMA","0.02"
"1989","ALABAMA","1.46"
"1990","ALABAMA","0.65"
"1991","ALABAMA","0.02"
"1992","ALABAMA","0.0"
"1993","ALABAMA","0.02"
"1994","ALABAMA","0.0"
"1995","ALABAMA","0.0"
"1996","ALABAMA","0.0"
"1997","ALABAMA","0.14"
"1998","ALABAMA","0.0"
"1999","ALABAMA","0.0"
"2000","ALABAMA","0.0"
"2001","ALABAMA","0.0"
"2002","ALABAMA","0.16"
"2003","ALABAMA","0.0"
"1928","ALASKA","0.0"
"1929","ALASKA","0.0"
"1930","ALASKA","0.0"
"1931","ALASKA","0.0"
"1932","ALASKA","0.0"
"1933","ALASKA","0.0"
"1934","ALASKA","0.0"
"1935","ALASKA","0.0"
"1936","ALASKA","0.0"
"1937","ALASKA","0.0"
"1938","ALASKA","0.0"
"1939","ALASKA","0.0"
"1940","ALASKA","0.0"
"1941","ALASKA","0.0"
"1942","ALASKA","0.0"
"1943","ALASKA","0.0"
"1944","ALASKA","0.0"
"1945","ALASKA","0.0"
"1946","ALASKA","0.0"
"1947","ALASKA","0.0"
"1948","ALASKA","0.0"
"1949","ALASKA","0.0"
"1950","ALASKA","0.0"
"1951","ALASKA","0.0"
"1952","ALASKA","0.0"
"1953","ALASKA","0.0"
"1954","ALASKA","691.67"
"1955","ALASKA","241.87"
"1956","ALASKA","1120.98"
"1957","ALASKA","414.7"
"1958","ALASKA","562.06"
"1959","ALASKA","816.55"
"1960","ALASKA","635.79"
"1961","ALASKA","420.96"
"1962","ALASKA","571.54"
"1963","ALASKA","722.27"
"1964","ALASKA","439.89"
"1965","ALASKA","79.38"
"1966","ALASKA","236.57"
"1967","ALASKA","53.27"
"1968","ALASKA","3.86"
"1969","ALASKA","6.77"
"1970","ALASKA","33.61"
"1971","ALASKA","19.42"
"1972","ALASKA","3.94"
"1973","ALASKA","1.47"
"1974","ALASKA","0.27"
"1975","ALASKA","0.0"
"1976","ALASKA","2.73"
"1977","ALASKA","15.07"
"1978","ALASKA","0.5"
"1979","ALASKA","4.48"
